time(s)	cellId	rnti	lcid	packetSize
0.279386	3	2	3	58
0.279386	3	2	3	58
0.279386	3	2	3	58
0.279386	3	2	3	58
0.279386	3	2	3	58
0.279386	3	2	3	58
0.279386	3	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	1	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.280386	3	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	1	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.281386	3	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	1	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.282386	3	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	1	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.283386	3	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	1	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.284386	3	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	1	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.285386	3	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	1	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.286386	3	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	1	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.287386	3	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	1	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.288386	3	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	1	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.289386	3	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	1	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.290386	3	2	3	58
0.291386	1	2	3	58
0.291386	1	2	3	58
0.291386	1	2	3	58
0.291386	1	2	3	58
0.291386	1	2	3	58
0.291386	1	2	3	58
