time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.559386	3	1	3	1032	0.00238571
0.560386	1	1	3	1032	0.00238571
0.560386	3	1	3	1032	0.00238571
0.561386	1	1	3	1032	0.00238571
0.561386	3	1	3	1032	0.00238571
0.562386	1	1	3	1032	0.00238571
0.562386	3	1	3	1032	0.00238571
0.563386	1	1	3	1032	0.00238571
0.563386	3	1	3	1032	0.00238571
0.564386	1	1	3	1032	0.00238571
0.564386	3	1	3	1032	0.00238571
0.565386	1	1	3	1032	0.00238571
0.565386	3	1	3	1032	0.00238571
0.566386	1	1	3	1032	0.00238571
0.566386	3	1	3	1032	0.00238571
0.567386	1	1	3	1032	0.00238571
0.567386	3	1	3	1032	0.00238571
0.568386	1	1	3	1032	0.00238571
0.568386	3	1	3	1032	0.00238571
0.569386	1	1	3	1032	0.00238571
0.569386	3	1	3	1032	0.00238571
0.570386	1	1	3	1032	0.00238571
0.570386	3	1	3	1032	0.00238571
0.571386	1	1	3	1032	0.00238571
0.571386	3	1	3	1032	0.00238571
0.572386	1	1	3	1032	0.00238571
0.572386	3	1	3	1032	0.00238571
0.573386	1	1	3	1032	0.00238571
0.573386	3	1	3	1032	0.00238571
0.574386	1	1	3	1032	0.00238571
0.574386	3	1	3	1032	0.00238571
0.575386	1	1	3	1032	0.00238571
0.575386	3	1	3	1032	0.00238571
0.576386	1	1	3	1032	0.00238571
0.576386	3	1	3	1032	0.00238571
0.577386	1	1	3	1032	0.00238571
0.577386	3	1	3	1032	0.00238571
0.578386	1	1	3	1032	0.00238571
0.578386	3	1	3	1032	0.00238571
0.579386	1	1	3	1032	0.00238571
0.579386	3	1	3	1032	0.00238571
0.580386	1	1	3	1032	0.00238571
0.580386	3	1	3	1032	0.00238571
0.581386	1	1	3	1032	0.00238571
0.581386	3	1	3	1032	0.00238571
0.582386	1	1	3	1032	0.00238571
0.582386	3	1	3	1032	0.00238571
0.583386	1	1	3	1032	0.00238571
0.583386	3	1	3	1032	0.00238571
0.584386	1	1	3	1032	0.00238571
0.584386	3	1	3	1032	0.00238571
0.585386	1	1	3	1032	0.00238571
0.585386	3	1	3	1032	0.00238571
0.586386	1	1	3	1032	0.00238571
0.586386	3	1	3	1032	0.00238571
0.587386	1	1	3	1032	0.00238571
0.587386	3	1	3	1032	0.00238571
0.588386	1	1	3	1032	0.00238571
0.588386	3	1	3	1032	0.00238571
0.589386	1	1	3	1032	0.00238571
0.589386	3	1	3	1032	0.00238571
0.590386	1	1	3	1032	0.00238571
0.590386	3	1	3	1032	0.00238571
0.591386	1	1	3	1032	0.00238571
0.591386	3	1	3	1032	0.00238571
0.592386	1	1	3	1032	0.00238571
0.592386	3	1	3	1032	0.00238571
0.593386	1	1	3	1032	0.00238571
0.593386	3	1	3	1032	0.00238571
0.594386	1	1	3	1032	0.00238571
0.594386	3	1	3	1032	0.00238571
0.595386	1	1	3	1032	0.00238571
0.595386	3	1	3	1032	0.00238571
0.596386	1	1	3	1032	0.00238571
0.596386	3	1	3	1032	0.00238571
0.597386	1	1	3	1032	0.00238571
0.597386	3	1	3	1032	0.00238571
0.598386	1	1	3	1032	0.00238571
0.598386	3	1	3	1032	0.00238571
0.599386	1	1	3	1032	0.00238571
0.599386	3	1	3	1032	0.00238571
0.600386	1	1	3	1032	0.00238571
0.600386	3	1	3	1032	0.00238571
0.601386	1	1	3	1032	0.00238571
0.601386	3	1	3	1032	0.00238571
0.602386	1	1	3	1032	0.00238571
0.602386	3	1	3	1032	0.00238571
0.603386	1	1	3	1032	0.00238571
0.603386	3	1	3	1032	0.00238571
0.604386	1	1	3	1032	0.00238571
0.604386	3	1	3	1032	0.00238571
0.605386	1	1	3	1032	0.00238571
0.605386	3	1	3	1032	0.00238571
0.606386	1	1	3	1032	0.00238571
0.606386	3	1	3	1032	0.00238571
0.607386	1	1	3	1032	0.00238571
0.607386	3	1	3	1032	0.00238571
0.608386	1	1	3	1032	0.00238571
0.608386	3	1	3	1032	0.00238571
0.609386	1	1	3	1032	0.00238571
0.609386	3	1	3	1032	0.00238571
0.610386	1	1	3	1032	0.00238571
0.610386	3	1	3	1032	0.00238571
0.611386	1	1	3	1032	0.00238571
0.611386	3	1	3	1032	0.00238571
0.612386	1	1	3	1032	0.00238571
0.612386	3	1	3	1032	0.00238571
0.613386	1	1	3	1032	0.00238571
0.613386	3	1	3	1032	0.00238571
0.614386	1	1	3	1032	0.00238571
0.614386	3	1	3	1032	0.00238571
0.615386	1	1	3	1032	0.00238571
0.615386	3	1	3	1032	0.00238571
0.616386	1	1	3	1032	0.00238571
0.616386	3	1	3	1032	0.00238571
0.617386	1	1	3	1032	0.00238571
0.617386	3	1	3	1032	0.00238571
0.618386	1	1	3	1032	0.00238571
0.618386	3	1	3	1032	0.00238571
0.619386	1	1	3	1032	0.00238571
0.619386	3	1	3	1032	0.00238571
0.620386	1	1	3	1032	0.00238571
0.620386	3	1	3	1032	0.00238571
0.621386	1	1	3	1032	0.00238571
0.621386	3	1	3	1032	0.00238571
0.622386	1	1	3	1032	0.00238571
0.622386	3	1	3	1032	0.00238571
0.623386	1	1	3	1032	0.00238571
0.623386	3	1	3	1032	0.00238571
0.624386	1	1	3	1032	0.00238571
0.624386	3	1	3	1032	0.00238571
0.625386	1	1	3	1032	0.00238571
0.625386	3	1	3	1032	0.00238571
0.626386	1	1	3	1032	0.00238571
0.626386	3	1	3	1032	0.00238571
0.627386	1	1	3	1032	0.00238571
0.627386	3	1	3	1032	0.00238571
0.628386	1	1	3	1032	0.00238571
0.628386	3	1	3	1032	0.00238571
0.629386	1	1	3	1032	0.00238571
0.629386	3	1	3	1032	0.00238571
0.630386	1	1	3	1032	0.00238571
0.630386	3	1	3	1032	0.00238571
0.631386	1	1	3	1032	0.00238571
0.631386	3	1	3	1032	0.00238571
0.632386	1	1	3	1032	0.00238571
0.632386	3	1	3	1032	0.00238571
0.633386	1	1	3	1032	0.00238571
0.633386	3	1	3	1032	0.00238571
0.634386	1	1	3	1032	0.00238571
0.634386	3	1	3	1032	0.00238571
0.635386	1	1	3	1032	0.00238571
0.635386	3	1	3	1032	0.00238571
0.636386	1	1	3	1032	0.00238571
0.636386	3	1	3	1032	0.00238571
0.637386	1	1	3	1032	0.00238571
0.637386	3	1	3	1032	0.00238571
0.638386	1	1	3	1032	0.00238571
0.638386	3	1	3	1032	0.00238571
0.639386	1	1	3	1032	0.00238571
0.639386	3	1	3	1032	0.00238571
0.640386	1	1	3	1032	0.00238571
0.640386	3	1	3	1032	0.00238571
0.641386	1	1	3	1032	0.00238571
0.641386	3	1	3	1032	0.00238571
0.642386	1	1	3	1032	0.00238571
0.642386	3	1	3	1032	0.00238571
0.643386	1	1	3	1032	0.00238571
0.643386	3	1	3	1032	0.00238571
0.644386	1	1	3	1032	0.00238571
0.644386	3	1	3	1032	0.00238571
0.645386	1	1	3	1032	0.00238571
0.645386	3	1	3	1032	0.00238571
0.646386	1	1	3	1032	0.00238571
0.646386	3	1	3	1032	0.00238571
0.647386	1	1	3	1032	0.00238571
0.647386	3	1	3	1032	0.00238571
0.648386	1	1	3	1032	0.00238571
0.648386	3	1	3	1032	0.00238571
0.649386	1	1	3	1032	0.00238571
0.649386	3	1	3	1032	0.00238571
0.650386	1	1	3	1032	0.00238571
0.650386	3	1	3	1032	0.00238571
0.651386	1	1	3	1032	0.00238571
0.651386	3	1	3	1032	0.00238571
0.652386	1	1	3	1032	0.00238571
0.652386	3	1	3	1032	0.00238571
0.653386	1	1	3	1032	0.00238571
0.653386	3	1	3	1032	0.00238571
0.654386	1	1	3	1032	0.00238571
0.654386	3	1	3	1032	0.00238571
0.655386	1	1	3	1032	0.00238571
0.655386	3	1	3	1032	0.00238571
0.656386	1	1	3	1032	0.00238571
0.656386	3	1	3	1032	0.00238571
0.657386	1	1	3	1032	0.00238571
0.657386	3	1	3	1032	0.00238571
0.658386	1	1	3	1032	0.00238571
0.658386	3	1	3	1032	0.00238571
0.659386	1	1	3	1032	0.00238571
0.659386	3	1	3	1032	0.00238571
0.660386	1	1	3	1032	0.00238571
0.660386	3	1	3	1032	0.00238571
0.661386	1	1	3	1032	0.00238571
0.661386	3	1	3	1032	0.00238571
0.662386	1	1	3	1032	0.00238571
0.662386	3	1	3	1032	0.00238571
0.663386	1	1	3	1032	0.00238571
0.663386	3	1	3	1032	0.00238571
0.664386	1	1	3	1032	0.00238571
0.664386	3	1	3	1032	0.00238571
0.665386	1	1	3	1032	0.00238571
0.665386	3	1	3	1032	0.00238571
0.666386	1	1	3	1032	0.00238571
0.666386	3	1	3	1032	0.00238571
0.667386	1	1	3	1032	0.00238571
0.667386	3	1	3	1032	0.00238571
0.668386	1	1	3	1032	0.00238571
0.668386	3	1	3	1032	0.00238571
0.669386	1	1	3	1032	0.00238571
0.669386	3	1	3	1032	0.00238571
0.670386	1	1	3	1032	0.00238571
0.670386	3	1	3	1032	0.00238571
0.671386	1	1	3	1032	0.00238571
0.671386	3	1	3	1032	0.00238571
0.672386	1	1	3	1032	0.00238571
0.672386	3	1	3	1032	0.00238571
0.673386	1	1	3	1032	0.00238571
0.673386	3	1	3	1032	0.00238571
0.674386	1	1	3	1032	0.00238571
0.674386	3	1	3	1032	0.00238571
0.675386	1	1	3	1032	0.00238571
0.675386	3	1	3	1032	0.00238571
0.676386	1	1	3	1032	0.00238571
0.676386	3	1	3	1032	0.00238571
0.677386	1	1	3	1032	0.00238571
0.677386	3	1	3	1032	0.00238571
0.678386	1	1	3	1032	0.00238571
0.678386	3	1	3	1032	0.00238571
0.679386	1	1	3	1032	0.00238571
0.679386	3	1	3	1032	0.00238571
0.680386	1	1	3	1032	0.00238571
0.680386	3	1	3	1032	0.00238571
0.681386	1	1	3	1032	0.00238571
0.681386	3	1	3	1032	0.00238571
0.682386	1	1	3	1032	0.00238571
0.682386	3	1	3	1032	0.00238571
0.683386	1	1	3	1032	0.00238571
0.683386	3	1	3	1032	0.00238571
0.684386	1	1	3	1032	0.00238571
0.684386	3	1	3	1032	0.00238571
0.685386	1	1	3	1032	0.00238571
0.685386	3	1	3	1032	0.00238571
0.686386	1	1	3	1032	0.00238571
0.686386	3	1	3	1032	0.00238571
0.687386	1	1	3	1032	0.00238571
0.687386	3	1	3	1032	0.00238571
0.688386	1	1	3	1032	0.00238571
0.688386	3	1	3	1032	0.00238571
0.689386	1	1	3	1032	0.00238571
0.689386	3	1	3	1032	0.00238571
0.690386	1	1	3	1032	0.00238571
0.690386	3	1	3	1032	0.00238571
0.691386	1	1	3	1032	0.00238571
0.691386	3	1	3	1032	0.00238571
0.692386	1	1	3	1032	0.00238571
0.692386	3	1	3	1032	0.00238571
0.693386	1	1	3	1032	0.00238571
0.693386	3	1	3	1032	0.00238571
0.694386	1	1	3	1032	0.00238571
0.694386	3	1	3	1032	0.00238571
0.695386	1	1	3	1032	0.00238571
0.695386	3	1	3	1032	0.00238571
0.696386	1	1	3	1032	0.00238571
0.696386	3	1	3	1032	0.00238571
0.697386	1	1	3	1032	0.00238571
0.697386	3	1	3	1032	0.00238571
0.698386	1	1	3	1032	0.00238571
0.698386	3	1	3	1032	0.00238571
0.699386	1	1	3	1032	0.00238571
0.699386	3	1	3	1032	0.00238571
0.700386	1	1	3	1032	0.00238571
0.700386	3	1	3	1032	0.00238571
0.701386	1	1	3	1032	0.00238571
0.701386	3	1	3	1032	0.00238571
0.702386	1	1	3	1032	0.00238571
0.702386	3	1	3	1032	0.00238571
0.703386	1	1	3	1032	0.00238571
0.703386	3	1	3	1032	0.00238571
0.704386	1	1	3	1032	0.00238571
0.704386	3	1	3	1032	0.00238571
0.705386	1	1	3	1032	0.00238571
0.705386	3	1	3	1032	0.00238571
0.706386	1	1	3	1032	0.00238571
0.706386	3	1	3	1032	0.00238571
0.707386	1	1	3	1032	0.00238571
0.707386	3	1	3	1032	0.00238571
0.708386	1	1	3	1032	0.00238571
0.708386	3	1	3	1032	0.00238571
0.709386	1	1	3	1032	0.00238571
0.709386	3	1	3	1032	0.00238571
0.710386	1	1	3	1032	0.00238571
0.710386	3	1	3	1032	0.00238571
0.711386	1	1	3	1032	0.00238571
0.711386	3	1	3	1032	0.00238571
0.712386	1	1	3	1032	0.00238571
0.712386	3	1	3	1032	0.00238571
0.713386	1	1	3	1032	0.00238571
0.713386	3	1	3	1032	0.00238571
0.714386	1	1	3	1032	0.00238571
0.714386	3	1	3	1032	0.00238571
0.715386	1	1	3	1032	0.00238571
0.715386	3	1	3	1032	0.00238571
0.716386	1	1	3	1032	0.00238571
0.716386	3	1	3	1032	0.00238571
0.717386	1	1	3	1032	0.00238571
0.717386	3	1	3	1032	0.00238571
0.718386	1	1	3	1032	0.00238571
0.718386	3	1	3	1032	0.00238571
0.719386	1	1	3	1032	0.00238571
0.719386	3	1	3	1032	0.00238571
0.720386	1	1	3	1032	0.00238571
0.720386	3	1	3	1032	0.00238571
0.721386	1	1	3	1032	0.00238571
0.721386	3	1	3	1032	0.00238571
0.722386	1	1	3	1032	0.00238571
0.722386	3	1	3	1032	0.00238571
0.723386	1	1	3	1032	0.00238571
0.723386	3	1	3	1032	0.00238571
0.724386	1	1	3	1032	0.00238571
0.724386	3	1	3	1032	0.00238571
0.725386	1	1	3	1032	0.00238571
0.725386	3	1	3	1032	0.00238571
0.726386	1	1	3	1032	0.00238571
0.726386	3	1	3	1032	0.00238571
0.727386	1	1	3	1032	0.00238571
0.727386	3	1	3	1032	0.00238571
0.728386	1	1	3	1032	0.00238571
0.728386	3	1	3	1032	0.00238571
0.729386	1	1	3	1032	0.00238571
0.729386	3	1	3	1032	0.00238571
0.730386	1	1	3	1032	0.00238571
0.730386	3	1	3	1032	0.00238571
0.731386	1	1	3	1032	0.00238571
0.731386	3	1	3	1032	0.00238571
0.732386	1	1	3	1032	0.00238571
0.732386	3	1	3	1032	0.00238571
0.733386	1	1	3	1032	0.00238571
0.733386	3	1	3	1032	0.00238571
0.734386	1	1	3	1032	0.00238571
0.734386	3	1	3	1032	0.00238571
0.735386	1	1	3	1032	0.00238571
0.735386	3	1	3	1032	0.00238571
0.736386	1	1	3	1032	0.00238571
0.736386	3	1	3	1032	0.00238571
0.737386	1	1	3	1032	0.00238571
0.737386	3	1	3	1032	0.00238571
0.738386	1	1	3	1032	0.00238571
0.738386	3	1	3	1032	0.00238571
0.739386	1	1	3	1032	0.00238571
0.739386	3	1	3	1032	0.00238571
0.740386	1	1	3	1032	0.00238571
0.740386	3	1	3	1032	0.00238571
0.741386	1	1	3	1032	0.00238571
0.741386	3	1	3	1032	0.00238571
0.742386	1	1	3	1032	0.00238571
0.742386	3	1	3	1032	0.00238571
0.743386	1	1	3	1032	0.00238571
0.743386	3	1	3	1032	0.00238571
0.744386	1	1	3	1032	0.00238571
0.744386	3	1	3	1032	0.00238571
0.745386	1	1	3	1032	0.00238571
0.745386	3	1	3	1032	0.00238571
0.746386	1	1	3	1032	0.00238571
0.746386	3	1	3	1032	0.00238571
0.747386	1	1	3	1032	0.00238571
0.747386	3	1	3	1032	0.00238571
0.748386	1	1	3	1032	0.00238571
0.748386	3	1	3	1032	0.00238571
0.749386	1	1	3	1032	0.00238571
0.749386	3	1	3	1032	0.00238571
0.750386	1	1	3	1032	0.00238571
0.750386	3	1	3	1032	0.00238571
0.751386	1	1	3	1032	0.00238571
0.751386	3	1	3	1032	0.00238571
0.752386	1	1	3	1032	0.00238571
0.752386	3	1	3	1032	0.00238571
0.753386	1	1	3	1032	0.00238571
0.753386	3	1	3	1032	0.00238571
0.754386	1	1	3	1032	0.00238571
0.754386	3	1	3	1032	0.00238571
0.755386	1	1	3	1032	0.00238571
0.755386	3	1	3	1032	0.00238571
0.756386	1	1	3	1032	0.00238571
0.756386	3	1	3	1032	0.00238571
0.757386	1	1	3	1032	0.00238571
0.757386	3	1	3	1032	0.00238571
0.758386	1	1	3	1032	0.00238571
0.758386	3	1	3	1032	0.00238571
0.759386	1	1	3	1032	0.00238571
0.759386	3	1	3	1032	0.00238571
0.760386	1	1	3	1032	0.00238571
0.760386	3	1	3	1032	0.00238571
