time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.142029	1	2	3	58	0.00564285
0.142029	1	2	3	58	0.00564285
0.142029	1	2	3	58	0.00564285
0.142029	1	2	3	58	0.00564285
0.142029	1	2	3	58	0.00564285
0.142029	1	2	3	58	0.00564285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00464285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.142029	1	2	3	58	0.00364285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00864285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00764285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00664285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00564285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00464285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.147029	3	2	3	58	0.00364285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00864285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00764285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00664285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00564285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00464285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.148029	1	2	3	58	0.00364285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00864285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00764285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00664285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00564285
0.153029	3	2	3	58	0.00464285
0.153029	3	2	3	58	0.00464285
0.153029	3	2	3	58	0.00464285
0.153029	3	2	3	58	0.00464285
0.153029	3	2	3	58	0.00464285
