time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.60753	1	4	3	129	0.00245714
3.6076	1	5	3	691	0.00252857
3.60767	1	6	3	76	0.0026
3.60774	1	7	3	691	0.00267142
3.60781	1	8	3	35	0.00274285
3.60789	1	9	3	1032	0.00281428
3.60896	1	1	3	1032	0.00288571
3.60903	1	2	3	1032	0.00295714
3.61231	1	3	3	270	0.00224286
3.61246	1	4	3	270	0.00238571
3.61253	1	5	3	343	0.00245714
3.61267	1	6	3	164	0.0026
3.61274	1	7	3	343	0.00267142
3.61296	1	8	3	129	0.00288571
3.61303	1	10	3	35	0.00795714
3.61339	1	3	3	410	0.00231428
3.6136	1	4	3	410	0.00252857
3.61381	1	6	3	252	0.00274285
3.61403	1	8	3	129	0.00295714
3.61439	1	3	3	229	0.00231428
3.6146	1	4	3	229	0.00252857
3.61481	1	6	3	252	0.00274285
3.61503	1	8	3	129	0.00295714
3.61553	1	6	3	296	0.00245714
3.61603	1	8	3	317	0.00295714
3.61703	1	8	3	303	0.00295714
3.62403	1	10	3	129	0.00795714
3.62496	1	10	3	176	0.00788571
3.62596	1	10	3	270	0.00788571
3.62703	1	10	3	270	0.00795714
3.62796	1	10	3	162	0.00788571
3.70739	1	1	3	1032	0.00231428
3.70746	1	2	3	1032	0.00238571
3.70753	1	3	3	129	0.00245714
3.7076	1	4	3	129	0.00252857
3.70767	1	6	3	76	0.0026
3.70774	1	7	3	691	0.00267142
3.70781	1	8	3	35	0.00274285
3.70789	1	9	3	1032	0.00281428
3.70903	1	5	3	691	0.00295714
3.71231	1	3	3	270	0.00224286
3.71246	1	4	3	270	0.00238571
3.71267	1	6	3	252	0.0026
3.71274	1	7	3	343	0.00267142
3.71296	1	8	3	129	0.00288571
3.71303	1	10	3	35	0.00795714
3.71339	1	3	3	410	0.00231428
3.7136	1	4	3	410	0.00252857
3.71381	1	6	3	252	0.00274285
3.71403	1	8	3	129	0.00295714
3.71431	1	3	3	229	0.00224286
3.71453	1	4	3	229	0.00245714
3.7146	1	5	3	343	0.00252857
3.71481	1	6	3	252	0.00274285
3.71503	1	8	3	129	0.00295714
3.71553	1	6	3	208	0.00245714
3.71603	1	8	3	317	0.00295714
3.71703	1	8	3	303	0.00295714
3.72403	1	10	3	129	0.00795714
3.72503	1	10	3	129	0.00795714
3.72603	1	10	3	270	0.00795714
3.72703	1	10	3	223	0.00795714
3.72803	1	10	3	256	0.00795714
3.80739	1	1	3	1032	0.00231428
3.80746	1	2	3	1032	0.00238571
3.80753	1	3	3	129	0.00245714
3.8076	1	4	3	129	0.00252857
3.80767	1	5	3	691	0.0026
3.80774	1	6	3	76	0.00267142
3.80781	1	7	3	691	0.00274285
3.80789	1	8	3	35	0.00281428
3.80796	1	9	3	1032	0.00288571
3.81231	1	3	3	270	0.00224286
3.81246	1	4	3	270	0.00238571
3.81253	1	5	3	343	0.00245714
3.81267	1	6	3	164	0.0026
3.81274	1	7	3	343	0.00267142
3.81296	1	8	3	129	0.00288571
3.81303	1	10	3	35	0.00795714
3.81339	1	3	3	410	0.00231428
3.8136	1	4	3	410	0.00252857
3.81381	1	6	3	252	0.00274285
3.81403	1	8	3	129	0.00295714
3.81439	1	3	3	229	0.00231428
3.8146	1	4	3	229	0.00252857
3.81481	1	6	3	252	0.00274285
3.81503	1	8	3	129	0.00295714
3.81553	1	6	3	296	0.00245714
3.81603	1	8	3	317	0.00295714
3.81703	1	8	3	303	0.00295714
3.82403	1	10	3	129	0.00795714
3.82503	1	10	3	270	0.00795714
3.82603	1	10	3	270	0.00795714
3.82703	1	10	3	270	0.00795714
