Time	CellId	RNTI	BWPId	SINR(dB)
0.655071	3	1	0	16.0541
0.660071	1	1	0	22.1511
0.660071	3	1	0	23.5837
0.664071	1	1	0	41.1239
0.665071	1	1	0	23.0676
0.665071	3	1	0	26.1098
0.670071	1	1	0	22.1714
0.670071	3	1	0	16.6381
0.675071	1	1	0	23.1395
0.675071	3	1	0	16.5061
0.680071	1	1	0	21.3759
0.680071	3	1	0	21.8249
0.685071	1	1	0	20.577
0.685071	3	1	0	27.4524
0.690071	1	1	0	20.3131
0.690071	3	1	0	19.623
0.695071	1	1	0	22.1194
0.695071	3	1	0	15.9678
0.700071	1	1	0	22.5644
0.700071	3	1	0	20.342
0.705071	1	1	0	23.0487
0.705071	3	1	0	26.7893
0.710071	1	1	0	21.2032
0.710071	3	1	0	22.593
0.715071	1	1	0	20.2691
0.715071	3	1	0	17.4776
0.720071	1	1	0	19.9553
0.720071	3	1	0	20.3887
0.725071	1	1	0	19.5847
0.725071	3	1	0	25.7346
0.730071	1	1	0	21.9739
0.730071	3	1	0	26.3143
0.735071	1	1	0	17.7207
0.735071	3	1	0	17.7549
0.740071	1	1	0	19.8566
0.740071	3	1	0	21.7537
0.744071	1	1	0	40.3022
0.745071	1	1	0	20.3625
0.745071	3	1	0	24.3093
0.750071	1	1	0	21.9504
0.750071	3	1	0	26.7037
0.755071	1	1	0	23.4314
0.755071	3	1	0	19.5413
0.760071	1	1	0	22.641
0.760071	3	1	0	18.0497
0.765071	1	1	0	20.4263
0.765071	3	1	0	25.9402
0.770071	1	1	0	18.9651
0.770071	3	1	0	25.6677
0.775071	1	1	0	22.708
0.775071	3	1	0	20.4472
0.780071	1	1	0	19.6947
0.780071	3	1	0	18.9964
0.785071	1	1	0	22.2481
0.785071	3	1	0	25.6837
0.790071	1	1	0	22.3467
0.790071	3	1	0	26.5929
0.795071	1	1	0	19.2352
0.795071	3	1	0	23.0597
0.800071	1	1	0	21.6833
0.800071	3	1	0	18.8643
0.805071	1	1	0	20.9749
0.805071	3	1	0	27.2376
0.810071	1	1	0	20.3264
0.810071	3	1	0	25.1562
0.815071	1	1	0	21.2545
0.815071	3	1	0	25.072
0.820071	1	1	0	19.5289
0.820071	3	1	0	20.3248
0.824071	1	1	0	39.3861
0.825071	1	1	0	17.9774
0.825071	3	1	0	23.0564
0.830071	1	1	0	18.6902
0.830071	3	1	0	26.0978
0.835071	1	1	0	23.2406
0.835071	3	1	0	29.1862
0.840071	1	1	0	21.6618
0.840071	3	1	0	21.3552
0.845071	1	1	0	22.1336
0.845071	3	1	0	20.7955
0.850071	1	1	0	19.3813
0.850071	3	1	0	27.0818
0.855071	1	1	0	19.6946
0.855071	3	1	0	29.3356
0.860071	1	1	0	18.2782
0.860071	3	1	0	25.3897
0.865071	1	1	0	19.8585
0.865071	3	1	0	20.5232
0.870071	1	1	0	19.3604
0.870071	3	1	0	29.9881
0.875071	1	1	0	20.3549
0.875071	3	1	0	25.3678
0.880071	1	1	0	23.3689
0.880071	3	1	0	25.7505
0.885071	1	1	0	21.1622
0.885071	3	1	0	21.8984
0.890071	1	1	0	19.3436
0.890071	3	1	0	23.5921
