time(s)	cellId	rnti	lcid	packetSize
0.599	1	1	3	1032
0.599	3	1	3	1032
0.6	1	1	3	1032
0.6	3	1	3	1032
0.601	1	1	3	1032
0.601	3	1	3	1032
0.602	1	1	3	1032
0.602	3	1	3	1032
0.603	1	1	3	1032
0.603	3	1	3	1032
0.604	1	1	3	1032
0.604	3	1	3	1032
0.605	1	1	3	1032
0.605	3	1	3	1032
0.606	1	1	3	1032
0.606	3	1	3	1032
0.607	1	1	3	1032
0.607	3	1	3	1032
0.608	1	1	3	1032
0.608	3	1	3	1032
0.609	1	1	3	1032
0.609	3	1	3	1032
0.61	1	1	3	1032
0.61	3	1	3	1032
0.611	1	1	3	1032
0.611	3	1	3	1032
0.612	1	1	3	1032
0.612	3	1	3	1032
0.613	1	1	3	1032
0.613	3	1	3	1032
0.614	1	1	3	1032
0.614	3	1	3	1032
0.615	1	1	3	1032
0.615	3	1	3	1032
0.616	1	1	3	1032
0.616	3	1	3	1032
0.617	1	1	3	1032
0.617	3	1	3	1032
0.618	1	1	3	1032
0.618	3	1	3	1032
0.619	1	1	3	1032
0.619	3	1	3	1032
0.62	1	1	3	1032
0.62	3	1	3	1032
0.621	1	1	3	1032
0.621	3	1	3	1032
0.622	1	1	3	1032
0.622	3	1	3	1032
0.623	1	1	3	1032
0.623	3	1	3	1032
0.624	1	1	3	1032
0.624	3	1	3	1032
0.625	1	1	3	1032
0.625	3	1	3	1032
0.626	1	1	3	1032
0.626	3	1	3	1032
0.627	1	1	3	1032
0.627	3	1	3	1032
0.628	1	1	3	1032
0.628	3	1	3	1032
0.629	1	1	3	1032
0.629	3	1	3	1032
0.63	1	1	3	1032
0.63	3	1	3	1032
0.631	1	1	3	1032
0.631	3	1	3	1032
0.632	1	1	3	1032
0.632	3	1	3	1032
0.633	1	1	3	1032
0.633	3	1	3	1032
0.634	1	1	3	1032
0.634	3	1	3	1032
0.635	1	1	3	1032
0.635	3	1	3	1032
0.636	1	1	3	1032
0.636	3	1	3	1032
0.637	1	1	3	1032
0.637	3	1	3	1032
0.638	1	1	3	1032
0.638	3	1	3	1032
0.639	1	1	3	1032
