time(s)	cellId	rnti	lcid	packetSize
0.593002	1	1	3	1030
0.593003	3	1	3	1030
0.594002	1	1	3	1030
0.594003	3	1	3	1030
0.595002	1	1	3	1030
0.595003	3	1	3	1030
0.596002	1	1	3	1030
0.596003	3	1	3	1030
0.597002	1	1	3	1030
0.597003	3	1	3	1030
0.598002	1	1	3	1030
0.598003	3	1	3	1030
0.599002	1	1	3	1030
0.599003	3	1	3	1030
0.600002	1	1	3	1030
0.600003	3	1	3	1030
0.601002	1	1	3	1030
0.601003	3	1	3	1030
0.602002	1	1	3	1030
0.602003	3	1	3	1030
0.603002	1	1	3	1030
0.603003	3	1	3	1030
0.604002	1	1	3	1030
0.604003	3	1	3	1030
0.605002	1	1	3	1030
0.605003	3	1	3	1030
0.606002	1	1	3	1030
0.606003	3	1	3	1030
0.607002	1	1	3	1030
0.607003	3	1	3	1030
0.608002	1	1	3	1030
0.608003	3	1	3	1030
0.609002	1	1	3	1030
0.609003	3	1	3	1030
0.610002	1	1	3	1030
0.610003	3	1	3	1030
0.611002	1	1	3	1030
0.611003	3	1	3	1030
0.612002	1	1	3	1030
0.612003	3	1	3	1030
0.613002	1	1	3	1030
0.613003	3	1	3	1030
0.614002	1	1	3	1030
0.614003	3	1	3	1030
0.615002	1	1	3	1030
0.615003	3	1	3	1030
0.616002	1	1	3	1030
0.616003	3	1	3	1030
0.617002	1	1	3	1030
0.617003	3	1	3	1030
0.618002	1	1	3	1030
0.618003	3	1	3	1030
0.619002	1	1	3	1030
0.619003	3	1	3	1030
0.620002	1	1	3	1030
0.620003	3	1	3	1030
0.621002	1	1	3	1030
0.621003	3	1	3	1030
0.622002	1	1	3	1030
0.622003	3	1	3	1030
0.623002	1	1	3	1030
0.623003	3	1	3	1030
0.624002	1	1	3	1030
0.624003	3	1	3	1030
0.625002	1	1	3	1030
0.625003	3	1	3	1030
0.626002	1	1	3	1030
0.626003	3	1	3	1030
0.627002	1	1	3	1030
0.627003	3	1	3	1030
0.628002	1	1	3	1030
0.628003	3	1	3	1030
0.629002	1	1	3	1030
0.629003	3	1	3	1030
