Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.804929	HARQ FD Txed	80	4	0	1	1	0	11	2
0.805071	DL DCI Rxed	80	5	0	1	1	0	13	2
0.805071	DL DCI Rxed	80	5	0	3	1	0	13	2
0.805929	HARQ FD Txed	80	5	0	3	1	0	15	2
0.805929	HARQ FD Txed	80	5	0	1	1	0	15	2
0.806071	DL DCI Rxed	80	6	0	1	1	0	12	2
0.806071	DL DCI Rxed	80	6	0	3	1	0	12	2
0.806929	HARQ FD Txed	80	6	0	3	1	0	14	2
0.806929	HARQ FD Txed	80	6	0	1	1	0	14	2
0.807071	DL DCI Rxed	80	7	0	1	1	0	11	2
0.807071	DL DCI Rxed	80	7	0	3	1	0	11	2
0.807929	HARQ FD Txed	80	7	0	3	1	0	13	2
0.807929	HARQ FD Txed	80	7	0	1	1	0	13	2
0.808071	DL DCI Rxed	80	8	0	1	1	0	15	2
0.808071	DL DCI Rxed	80	8	0	3	1	0	15	2
0.808929	HARQ FD Txed	80	8	0	3	1	0	12	2
0.808929	HARQ FD Txed	80	8	0	1	1	0	12	2
0.809071	DL DCI Rxed	80	9	0	1	1	0	14	2
0.809071	DL DCI Rxed	80	9	0	3	1	0	14	2
0.809929	HARQ FD Txed	80	9	0	3	1	0	11	2
0.809929	HARQ FD Txed	80	9	0	1	1	0	11	2
0.810071	DL DCI Rxed	81	0	0	1	1	0	13	2
0.810071	DL DCI Rxed	81	0	0	3	1	0	13	2
0.810929	HARQ FD Txed	81	0	0	3	1	0	15	2
0.810929	HARQ FD Txed	81	0	0	1	1	0	15	2
0.811071	DL DCI Rxed	81	1	0	1	1	0	12	2
0.811071	DL DCI Rxed	81	1	0	3	1	0	12	2
0.811929	HARQ FD Txed	81	1	0	3	1	0	14	2
0.811929	HARQ FD Txed	81	1	0	1	1	0	14	2
0.812071	DL DCI Rxed	81	2	0	1	1	0	11	2
0.812071	DL DCI Rxed	81	2	0	3	1	0	11	2
0.812929	HARQ FD Txed	81	2	0	3	1	0	13	2
0.812929	HARQ FD Txed	81	2	0	1	1	0	13	2
0.813071	DL DCI Rxed	81	3	0	1	1	0	15	2
0.813071	DL DCI Rxed	81	3	0	1	2	0	15	2
0.813071	DL DCI Rxed	81	3	0	3	1	0	15	2
0.813071	DL DCI Rxed	81	3	0	3	2	0	15	2
0.813929	HARQ FD Txed	81	3	0	3	1	0	12	2
0.813929	HARQ FD Txed	81	3	0	1	1	0	12	2
0.814071	DL DCI Rxed	81	4	0	1	1	0	14	2
0.814071	DL DCI Rxed	81	4	0	1	2	0	14	2
0.814071	DL DCI Rxed	81	4	0	3	1	0	14	2
0.814071	DL DCI Rxed	81	4	0	3	2	0	14	2
0.814929	HARQ FD Txed	81	4	0	3	1	0	11	2
0.814929	HARQ FD Txed	81	4	0	1	1	0	11	2
0.815071	DL DCI Rxed	81	5	0	1	1	0	13	2
0.815071	DL DCI Rxed	81	5	0	1	2	0	13	2
0.815071	DL DCI Rxed	81	5	0	3	1	0	13	2
0.815071	DL DCI Rxed	81	5	0	3	2	0	13	2
0.815929	HARQ FD Txed	81	5	0	3	2	0	15	2
