Time	CellId	RNTI	BWPId	SINR(dB)
1.24471	3	2	0	28.9504
1.24493	1	1	0	27.0959
1.24493	3	1	0	21.026
1.24529	1	1	0	32.9912
1.24571	3	2	0	27.7126
1.24593	1	2	0	25.484
1.24593	3	1	0	28.4141
1.2465	1	2	0	24.8511
1.24671	3	2	0	25.5597
1.24693	1	1	0	26.76
1.24693	3	1	0	21.0749
1.24729	3	1	0	39.6195
1.24771	1	2	0	30.3277
1.24793	3	2	0	26.6535
1.24793	1	1	0	25.662
1.2485	3	2	0	24.8582
1.24871	1	2	0	34.4052
1.24893	3	1	0	22.4815
1.24893	1	1	0	25.309
1.24971	1	2	0	26.5134
1.24971	3	2	0	27.2063
1.24993	1	1	0	25.8112
1.24993	3	1	0	23.5284
1.25071	1	2	0	22.9609
1.25071	3	2	0	27.2056
1.25093	1	1	0	24.1795
1.25093	3	1	0	23.4315
1.25171	1	2	0	25.1779
1.25171	3	2	0	27.3989
1.25193	1	1	0	24.3153
1.25193	3	1	0	23.7129
1.25271	1	2	0	29.333
1.25271	3	2	0	27.7778
1.25293	1	1	0	23.1005
1.25293	3	1	0	29.5589
1.25371	1	2	0	32.2554
1.25371	3	2	0	25.8918
1.25393	1	1	0	21.6615
1.25393	3	1	0	20.7908
1.25471	1	2	0	27.043
1.25471	3	2	0	26.4533
1.25493	1	1	0	22.8233
1.25493	3	1	0	29.8915
1.25571	1	2	0	25.6656
1.25571	3	2	0	26.4549
1.25593	1	1	0	22.8775
1.25593	3	1	0	20.3669
1.25671	1	2	0	27.7776
1.25671	3	2	0	26.4299
1.25693	1	1	0	23.1602
1.25693	3	1	0	25.3222
1.25729	1	1	0	25.1866
1.25771	3	2	0	25.8639
1.25793	1	2	0	33.9338
1.25793	3	1	0	24.4128
1.25829	1	1	0	23.5223
1.25871	3	2	0	26.0987
1.25893	1	2	0	28.3226
1.25893	3	1	0	21.1332
1.2595	1	2	0	26.1783
1.25971	3	2	0	27.3819
1.25993	1	1	0	20.1477
1.25993	3	1	0	21.2408
1.26029	3	1	0	21.002
1.2605	1	2	0	37.0263
1.26093	3	2	0	27.8165
1.26093	1	1	0	19.4812
1.26143	3	2	0	25.1796
1.26171	1	2	0	29.9872
1.26186	3	1	0	31.9708
1.26193	1	1	0	43.5238
1.26271	1	2	0	29.5943
1.26271	3	2	0	29.4905
1.26293	1	1	0	21.5056
1.26293	3	1	0	29.0129
1.26371	1	2	0	25.3477
1.26371	3	2	0	28.0895
1.26393	1	1	0	23.326
1.26393	3	1	0	17.4098
1.26471	1	2	0	23.4683
1.26471	3	2	0	26.0211
1.26493	1	1	0	23.7504
1.26493	3	1	0	28.3958
1.26571	1	2	0	24.3118
1.26571	3	2	0	24.9121
1.26593	1	1	0	24.5215
1.26593	3	1	0	19.6522
1.26671	1	2	0	30.2326
1.26671	3	2	0	25.2385
1.26693	1	1	0	24.4447
1.26693	3	1	0	25.262
1.26771	1	2	0	29.2099
1.26771	3	2	0	27.4602
1.26793	1	1	0	25.1435
1.26793	3	1	0	20.3333
1.26829	3	1	0	25.6196
1.26871	1	2	0	28.916
1.26893	3	2	0	28.8552
1.26893	1	1	0	26.8997
1.2695	3	2	0	26.8823
1.26971	1	2	0	24.3078
1.26993	3	1	0	23.6949
1.26993	1	1	0	27.1346
1.27029	3	1	0	31.9841
1.27071	1	2	0	31.691
1.27093	3	2	0	28.0856
1.27093	1	1	0	32.0952
1.2715	3	2	0	25.0266
1.27171	1	2	0	31.7586
1.27193	3	1	0	20.8894
1.27193	1	1	0	30.3079
1.27271	1	2	0	29.7051
1.27271	3	2	0	25.5929
1.27293	1	1	0	28.6116
1.27293	3	1	0	25.8088
1.27371	1	2	0	25.6412
1.27371	3	2	0	26.2892
1.27393	1	1	0	31.6379
1.27393	3	1	0	20.5711
1.27464	1	2	0	24.851
1.27471	3	2	0	27.2585
1.27486	1	1	0	33.7983
1.27493	3	1	0	60.2729
1.27571	1	2	0	30.0358
1.27571	3	2	0	29.9385
1.27593	1	1	0	37.1207
1.27593	3	1	0	22.5929
1.27671	1	2	0	31.5632
1.27671	3	2	0	27.4447
1.27693	1	1	0	39.658
1.27693	3	1	0	21.3461
1.27771	1	2	0	28.5794
1.27771	3	2	0	24.9388
1.27793	1	1	0	40.168
1.27793	3	1	0	22.277
1.27871	1	2	0	25.1655
1.27871	3	2	0	25.411
1.27893	1	1	0	34.3019
1.27893	3	1	0	21.9705
1.27971	1	2	0	28.1577
1.27971	3	2	0	25.1139
1.27993	1	1	0	33.9279
1.27993	3	1	0	21.6369
1.28071	1	2	0	30.1926
1.28071	3	2	0	30.8264
1.28093	1	1	0	29.202
1.28093	3	1	0	23.6694
1.28171	1	2	0	28.157
1.28171	3	2	0	27.0885
1.28193	1	1	0	28.495
1.28193	3	1	0	32.4173
1.28271	1	2	0	24.7406
1.28271	3	2	0	27.7854
1.28293	1	1	0	28.1526
1.28293	3	1	0	21.2799
1.28371	1	2	0	23.6112
1.28371	3	2	0	30.8393
1.28393	1	1	0	27.0348
1.28393	3	1	0	30.0611
1.28471	1	2	0	25.7958
1.28471	3	2	0	25.2632
1.28493	1	1	0	26.994
1.28493	3	1	0	17.7755
1.28571	1	2	0	33.8033
1.28571	3	2	0	24.6082
1.28593	1	1	0	25.619
1.28593	3	1	0	40.0885
1.28671	1	2	0	29.2467
1.28671	3	2	0	26.938
1.28693	1	1	0	23.8942
1.28693	3	1	0	20.0059
1.28729	3	1	0	19.971
1.28771	1	2	0	31.4419
1.28793	3	2	0	27.5774
1.28793	1	1	0	25.5527
1.28871	1	2	0	21.5959
1.28871	3	2	0	28.9216
1.28893	1	1	0	23.6629
1.28893	3	1	0	21.2163
1.28929	3	1	0	20.7022
1.28971	1	2	0	30.8965
1.28993	3	2	0	26.426
1.28993	1	1	0	25.0307
1.2905	3	2	0	25.1294
1.29071	1	2	0	31.9858
1.29093	3	1	0	26.1962
1.29093	1	1	0	21.4539
1.29129	3	1	0	23.9536
1.29171	1	2	0	26.9764
1.29193	3	2	0	24.9178
1.29193	1	1	0	23.7324
1.2925	3	2	0	24.2909
1.29271	1	2	0	28.9754
1.29293	3	1	0	23.1153
1.29293	1	1	0	19.1701
1.2935	3	2	0	28.7508
1.29371	1	2	0	25.7224
1.29393	3	1	0	25.1705
1.29393	1	1	0	19.4137
1.29471	1	2	0	27.0234
1.29471	3	2	0	26.878
1.29493	1	1	0	18.9916
1.29493	3	1	0	17.9468
1.29571	1	2	0	27.5485
1.29571	3	2	0	26.6756
1.29593	1	1	0	19.0466
1.29593	3	1	0	24.4661
1.29671	1	2	0	28.0531
1.29671	3	2	0	24.1783
1.29693	1	1	0	20.0329
1.29693	3	1	0	19.1873
1.29729	1	1	0	21.3842
1.29764	3	2	0	25.9571
1.29786	3	1	0	26.8236
1.29793	1	2	0	47.3809
1.29829	1	1	0	20.8549
1.29871	3	2	0	26.1023
1.29893	1	2	0	33.0807
1.29893	3	1	0	21.4514
1.29929	1	1	0	21.3263
1.29929	3	1	0	25.5971
1.29993	1	2	0	29.3604
1.29993	3	2	0	23.1103
1.30029	1	1	0	19.5822
1.30071	3	2	0	24.2923
1.30093	1	2	0	30.3885
1.30093	3	1	0	17.5318
1.30129	3	1	0	29.3069
1.3015	1	2	0	22.5287
1.30193	3	2	0	22.1243
1.30193	1	1	0	19.7294
1.3025	1	2	0	21.9844
1.3025	3	2	0	20.276
1.30293	1	1	0	18.1822
1.30293	3	1	0	17.7251
1.3035	1	2	0	28.5521
1.30357	3	2	0	21.1008
1.30393	1	1	0	17.9413
1.30393	3	1	0	27.8099
1.30464	1	2	0	31.9606
1.30471	3	2	0	23.3262
1.30493	1	1	0	19.9033
1.30493	3	1	0	24.2421
1.30571	1	2	0	27.9186
1.30571	3	2	0	23.0518
1.30593	1	1	0	20.2409
1.30593	3	1	0	18.1769
1.3065	1	2	0	23.1205
1.30671	3	2	0	22.5139
1.30679	1	1	0	21.4317
1.30693	3	1	0	58.1119
1.3075	1	1	0	20.4933
1.3075	3	2	0	21.1513
1.30771	3	1	0	20.1413
1.30793	1	2	0	47.2994
1.3085	1	1	0	20.2587
1.30857	3	2	0	20.7308
1.30886	3	1	0	21.9263
1.30893	1	2	0	44.6444
1.3095	1	1	0	21.0047
1.30971	3	2	0	21.6644
1.30993	1	2	0	28.9243
1.30993	3	1	0	18.316
1.31036	1	1	0	19.1484
1.31071	3	2	0	21.6409
1.31093	1	2	0	28.0863
1.31093	3	1	0	17.7999
1.31129	1	1	0	18.6518
1.3115	3	1	0	23.3589
1.31193	1	2	0	34.1998
1.31193	3	2	0	21.9124
1.31229	3	1	0	17.4483
1.3125	1	2	0	29.7559
1.31293	3	2	0	22.5918
1.31293	1	1	0	18.4051
1.31329	3	1	0	25.6735
1.3135	1	2	0	28.5379
1.31393	3	2	0	20.8828
1.31393	1	1	0	17.0489
1.31429	3	1	0	18.4506
1.3145	1	2	0	25.0242
1.31493	3	2	0	21.0143
1.31493	1	1	0	16.2889
1.31529	3	1	0	23.4662
1.3155	1	2	0	22.3481
1.31593	3	2	0	23.2123
1.31593	1	1	0	15.677
1.3165	3	2	0	20.0025
1.31664	1	2	0	25.5871
1.31693	3	1	0	22.7213
1.31693	1	1	0	17.6701
1.3175	1	1	0	19.2512
1.31771	3	2	0	22.4584
1.31793	1	2	0	26.3864
1.31793	3	1	0	16.2062
1.3185	1	1	0	18.8996
1.3185	3	2	0	20.1132
1.31893	1	2	0	25.208
1.31893	3	1	0	26.0443
1.3195	1	2	0	29.7425
1.3195	3	2	0	22.2246
1.31993	1	1	0	17.8782
1.31993	3	1	0	16.737
1.3205	1	1	0	17.4313
1.3205	3	2	0	21.4986
1.32093	1	2	0	24.6613
1.32093	3	1	0	24.5266
1.3215	1	1	0	18.5833
1.3215	3	2	0	21.2388
1.32186	3	1	0	18.212
1.32193	1	2	0	44.7
1.32229	3	1	0	21.0663
1.32236	1	1	0	16.7732
1.32293	3	2	0	22.7018
1.32293	1	2	0	39.2649
1.3235	1	2	0	31.914
1.3235	3	2	0	21.6619
1.32393	1	1	0	18.4197
1.32393	3	1	0	15.8469
1.3245	1	2	0	25.3057
1.3245	3	1	0	23.5761
1.32493	1	1	0	21.0858
1.32493	3	2	0	24.4187
1.3255	1	2	0	22.0669
1.3255	3	2	0	22.6225
1.32593	1	1	0	20.4498
1.32593	3	1	0	18.1374
1.32643	3	1	0	22.1002
1.3265	1	2	0	28.9642
1.32693	3	2	0	23.5794
1.32693	1	1	0	23.2791
1.3275	1	2	0	26.2031
1.3275	3	2	0	25.3937
1.32793	1	1	0	21.9129
1.32793	3	1	0	19.0823
1.3285	3	1	0	23.7933
1.32864	1	2	0	24.345
1.32893	3	2	0	21.1336
1.32893	1	1	0	22.9721
1.3295	1	1	0	24.4786
1.3295	3	2	0	23.3418
1.32993	1	2	0	39.0857
1.32993	3	1	0	19.9247
1.3305	1	2	0	24.1253
1.33064	3	2	0	19.951
1.33093	1	1	0	24.4571
1.33093	3	1	0	26.1299
1.33157	1	2	0	24.7904
1.33164	3	2	0	24.3476
1.33193	1	1	0	28.1609
1.33193	3	1	0	16.7309
1.33271	1	2	0	22.3581
1.33271	3	2	0	21.676
